static,srv_pkt_loss,srv_delay,srv_jitter,srv_duplicate,srv_corrupt,srv_reorder,srv_rate,cli_pkt_loss,cli_delay,cli_jitter,cli_duplicate,cli_corrupt,cli_reorder,cli_rate
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
